enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,protein_g,tuz_g,lif_g,sodyum_g,nova_grubu,nutriscore_notu,seker_orani,protein_orani,doymus_yag_orani
374.0,9.6,1.7,35.0,14.0,30.0,0.02,14.0,0.008,1.0,A,0.3888888888888889,0.08,0.16037735849056603
371.0,7.0,1.3,60.0,0.9,12.0,0.01,10.0,0.004,1.0,A,0.014754098360655738,0.03225806451612903,0.1625
368.0,4.0,1.0,68.0,3.0,14.0,0.08,3.0,0.032,1.0,A,0.043478260869565216,0.037940379403794036,0.2
446.0,17.0,3.2,59.0,3.0,9.9,0.01,11.0,0.004,4.0,A,0.05,0.02214765100671141,0.17777777777777778
250.0,4.66666666666667,0.666666666666667,36.6666666666667,0.0,11.3333333333333,0.916666666666667,8.33333333333333,0.366666666666667,4.0,A,0.0,0.04515272244355897,0.1176470588235294
391.0,7.6,1.1,60.1,0.0,13.0,1.13,24.7,0.452,3.0,A,0.0,0.03316326530612245,0.12790697674418605
55.0,0.2,0.0,12.0,12.0,0.3,0.0,1.9,0.0,1.0,A,0.9230769230769231,0.005357142857142857,0.0
0.0,0.0,0.0,0.029,0.03,0.0,0.013,0.0,0.15,4.0,A,0.02915451895043732,0.0,0.0
139.0,7.7,1.4,1.0,0.5,15.0,0.68,2.7,0.272,4.0,A,0.25,0.10714285714285714,0.16091954022988506
40.0,0.1,0.0,5.4,0.0,1.6,0.05,2.0,0.02,4.0,A,0.0,0.03902439024390244,0.0
236.0,12.5,0.9,15.0,0.7,13.1,0.98,5.7,0.392,4.0,A,0.04375,0.05527426160337553,0.06666666666666667
123.0,0.4,0.1,24.0,9.0,4.6,0.5,3.0,0.2,3.0,A,0.36,0.037096774193548385,0.07142857142857144
62.0,0.2,0.133333333333333,4.0,4.0,11.0,0.131666666666667,2.0,0.0526666666666667,1.0,A,0.8,0.1746031746031746,0.11111111111111084
682.0,61.825,9.075,11.1,4.425,17.1625,0.02275,6.45,0.15,3.0,A,0.365702479338843,0.025128111273792095,0.14444886589733386
0.0,0.0,0.0,0.0,0.0,0.0,0.00355,0.0,0.00142,1.0,A,0.0,0.0,0.0
232.0,13.0,1.2,15.0,0.6,9.7,0.925,6.8,0.37,4.0,A,0.0375,0.041630901287553645,0.08571428571428572
388.0,2.7,0.6,75.2,1.7,13.4,0.01,4.5,0.004,1.0,A,0.02230971128608924,0.03444730077120823,0.16216216216216214
372.0,6.51,1.13,57.9,0.97,13.3,0.014,10.2,0.15,1.0,A,0.016468590831918505,0.03565683646112601,0.15046604527296936
57.0,0.2,0.1,3.9,3.9,10.0,0.09,0.0,0.036,1.0,A,0.7959183673469387,0.1724137931034483,0.08333333333333334
117.0,0.4,0.0,23.7,9.0,4.6,0.8,3.0,0.32,3.0,A,0.3643724696356275,0.03898305084745762,0.0
362.0,4.1,0.5,65.0,0.0,14.0,0.0,7.6,0.0,1.0,A,0.0,0.03856749311294766,0.09803921568627452
725.0,71.4,6.8,4.2,0.0,11.2,0.01,10.0,0.004,1.0,A,0.0,0.015426997245179062,0.09392265193370165
64.0,3.5,0.5,6.1,5.2,1.2,0.47,1.7,0.188,3.0,A,0.7323943661971831,0.01846153846153846,0.1111111111111111
390.0,5.8,1.0,66.0,4.6,13.0,0.2,11.0,0.08,3.0,A,0.06865671641791045,0.03324808184143223,0.14705882352941177
372.0,6.7,1.1,59.5,0.0,13.2,0.0,9.7,0.0,1.0,A,0.0,0.0353887399463807,0.14285714285714288
357.0,2.10526315789474,0.526315789473684,68.4210526315789,0.0,11.8421052631579,0.256578947368421,10.0,0.102631578947368,3.0,A,0.0,0.03307850632167011,0.16949152542372856
66.0,3.5,0.3,6.4,5.0,1.4,1.0,1.5,0.4,3.0,A,0.6756756756756757,0.0208955223880597,0.06666666666666667
70.0,3.0,1.9,3.3,3.3,7.5,0.1,2.0,0.04,3.0,A,0.7674418604651163,0.1056338028169014,0.475
357.0,6.0,1.0,60.0,14.0,11.0,0.03,9.6,0.012,3.0,A,0.22950819672131148,0.030726256983240222,0.14285714285714285
0.0,0.0,0.0,0.0,62.5,0.0,0.001625,0.0,0.00065,1.0,A,62.5,0.0,0.0
354.0,5.4,1.2,61.0,15.0,9.7,0.01,11.0,0.004,3.0,A,0.24193548387096775,0.027323943661971828,0.18749999999999997
244.0,3.79310344827586,0.517241379310345,42.9310344827586,0.517241379310345,8.62068965517241,0.0021551724137931,5.51724137931035,0.0008620689655172,3.0,A,0.011773940345368926,0.035186488388458816,0.1079136690647483
175.0,4.4,0.7,0.96,0.1,33.0,1.1684,0.0,0.46736,3.0,A,0.05102040816326531,0.1875,0.12962962962962962
0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,6e-05,1.0,A,0.0,0.0,0.0
196.0,8.7,1.0,16.0,0.7,13.0,0.67,0.8,0.268,4.0,A,0.041176470588235294,0.06598984771573604,0.10309278350515465
207.0,1.7,0.3,36.0,4.9,6.8,1.0,10.0,0.4,3.0,A,0.13243243243243244,0.032692307692307694,0.1111111111111111
14.0,4.5,0.3,5.5,4.5,1.0,0.71,3.0,0.284,4.0,A,0.6923076923076923,0.06666666666666667,0.05454545454545454
176.0,11.0,0.7,3.9,1.3,12.4,0.94,5.9,0.376,4.0,A,0.2653061224489796,0.07005649717514124,0.05833333333333333
270.0,23.0,0.0,7.0,0.0,10.0,0.0,2.0,0.0,4.0,A,0.0,0.03690036900369004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.12325,0.0,0.0493,1.0,A,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0055,2.0,0.0022,1.0,A,0.0,0.0,0.0
385.0,2.8,0.6,74.8,2.6,13.0,0.68,4.4,0.272,3.0,A,0.03430079155672824,0.03367875647668394,0.15789473684210525
52.0,0.5,0.2,4.6,4.6,6.8,0.1,0.5,0.04,3.0,A,0.8214285714285714,0.12830188679245283,0.13333333333333333
265.0,7.8,1.0,35.0,2.1,10.0,1.3,7.5,0.52,4.0,A,0.058333333333333334,0.03759398496240601,0.11363636363636363
20.0,0.1,0.1,2.3,1.3,1.4,0.79,2.4,0.316,3.0,A,0.393939393939394,0.06666666666666667,0.09090909090909091
381.0,2.2,0.4,76.0,2.1,12.0,0.025,4.7,0.01,1.0,A,0.027272727272727275,0.031413612565445025,0.125
158.0,6.5,0.7,1.4,0.0,21.0,1.4,6.0,0.56,4.0,A,0.0,0.1320754716981132,0.09333333333333332
54.0,0.0,0.0,4.0,4.0,9.5,0.1,2.0,0.04,3.0,A,0.8,0.17272727272727273,0.0
235.0,11.7,0.8,17.6,1.4,12.3,0.8175,5.3,0.327,4.0,A,0.07526881720430106,0.052118644067796614,0.06299212598425198
344.0,6.0,0.9,53.0,9.0,12.0,0.02,15.0,0.008,1.0,A,0.16666666666666666,0.034782608695652174,0.1285714285714286
69.0,3.0,1.9,4.0,4.0,6.4,0.125,0.0,0.05,3.0,A,0.8,0.09142857142857143,0.475
56.0,0.7,0.0,0.0,0.0,26.0,0.9,0.0,0.0009,3.0,A,0.0,0.45614035087719296,0.0
253.0,21.0,0.0,6.0,0.0,10.0,0.0,2.0,0.0,4.0,A,0.0,0.03937007874015748,0.0
78.0,0.5,0.1,10.9,10.0,7.8,0.12,2.0,0.048,3.0,A,0.8403361344537815,0.09873417721518987,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0002,1.0,A,0.0,0.0,0.0
74.0,3.0,2.0,4.3,4.3,7.3,0.19,0.5,0.076,3.0,A,0.8113207547169812,0.09733333333333333,0.5
460.0,13.3,3.8,65.4,3.8,11.1,0.03,16.9,0.012,4.0,A,0.05722891566265059,0.02407809110629067,0.26573426573426573
0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,4e-05,4.0,A,9.999000099990002e-05,0.0001,9.999000099990002e-05
109.0,3.0,1.0,16.9,1.0,3.6,0.0,2.0,0.0,4.0,A,0.0558659217877095,0.03272727272727273,0.25
63.0,0.2,0.0,14.0,14.0,0.3,0.0,1.9,0.0,3.0,A,0.9333333333333333,0.0046875,0.0
622.0,48.8,8.0,12.8,5.9,28.0,0.03,7.6,0.012,1.0,A,0.427536231884058,0.0449438202247191,0.1606425702811245
54.0,0.1,0.1,3.7,3.4,9.3,0.09,2.0,0.036,4.0,A,0.7234042553191489,0.1690909090909091,0.09090909090909091
261.0,1.36004166666667,0.238680555555556,50.65375,2.36483333333333,8.49683333333333,0.0404822222222222,6.09486111111111,0.15,3.0,A,0.04578241334527173,0.03243066157760813,0.10113404306656548
60.0,1.2,0.8,9.6,5.5,2.7,0.0,0.0,0.0,4.0,A,0.5188679245283019,0.04426229508196722,0.36363636363636365
42.0,2.3,0.4,0.0,0.0,4.0,0.24,0.9,0.096,4.0,A,0.0,0.09302325581395349,0.12121212121212123
716.0,69.6,6.0,2.2,0.0,17.0,0.0,6.2,0.0,1.0,A,0.0,0.023709902370990237,0.08498583569405099
383.0,3.5,0.4,69.0,3.0,14.0,0.02,9.9,0.008,4.0,A,0.04285714285714286,0.036458333333333336,0.08888888888888889
599.0,49.1,8.4,14.8,0.0,26.1,0.02,8.6,0.008,1.0,A,0.0,0.043500000000000004,0.16766467065868262
